F00073+2538,00:09:53.40,+25:55:25,4566,12
F00085-1223,00:11:06.60,-12:06:26,5879,12
F00163-1039,00:18:50.40,-10:22:08,8139,20
F00344-3349,00:36:52.50,-33:33:19,6173,32
F00402-2349,00:42:45.80,-23:33:40,6646,24
F00506+7248,00:54:03.60,+73:05:11,4704,12
F00548+4331,00:57:40.50,+43:47:32,5426,12
F01053-1746,01:07:47.20,-17:30:25,6014,24
F01076-1707,01:10:09.00,-16:51:09,10040,23
F01173+1405,01:20:02.70,+14:21:42,9360,20
F01364-1042,01:38:52.90,-10:27:11,14462,44
F01417+1651,01:44:30.50,+17:06:05,8223,24
F01484+2220,01:51:14.20,+22:34:56,9734,40
F01519+3640,01:54:53.80,+36:55:04,5621,16
F02070+3857,02:10:09.60,+39:11:25,5372,12
F02071-1023,02:09:38.60,-10:08:46,3849,18
F02114+0456,02:14:05.60,+05:10:23,9060,24
F02152+1418,02:17:59.60,+14:32:38,3912,12
F02203+3158,02:23:22.00,+32:11:49,10106,48
F02208+4744,02:24:08.00,+47:58:11,4677,18
F02281-0309,02:30:42.80,-02:56:20,5738,18
F02345+2053,02:37:25.50,+21:06:02,4140,12
F02401-0013,02:42:40.70,-00:00:47,1136,12+++
F02435+1253,02:46:17.50,+13:05:44,6559,20
F02437+2122,02:46:39.10,+21:35:10,6985,20
F02512+1446,02:54:01.80,+14:58:25,9354,40
F03117+4151,03:15:01.40,+42:02:09,6997,24
F03164+4119,03:19:48.20,+41:30:42,5261,20
F03217+4022,03:25:05.40,+40:33:29,7006,20
F03359+1523,03:38:46.70,+15:32:54,10613,48
F03514+1546,03:54:16.10,+15:55:43,6661,12
F03582+6012,04:02:30.70,+60:20:33,8997,26
F04097+0525,04:12:22.40,+05:32:50,5303,12
F04118-3207,04:13:49.69,-32:00:25.1,3568,9
F04191-1855,04:21:20.00,-18:48:47,9650,14
F04271+3849,04:30:33.10,+38:55:47,5639,18
F04315-0840,04:33:59.90,-08:34:43,4776,20
F04326+1904,04:35:33.80,+19:10:18,7408,12
F04502-3304,04:52:04.96,-32:59:25.6,5621,12
F05053-0805,05:07:44.90,-08:01:08,4440,12
F05054+1718,05:08:20.50,+17:21:57,5453,24
F05081+7936,05:16:46.40,+79:40:12,16090,40
F05083+2441,05:11:25.90,+24:45:18,6913,12
F05129+5128,05:16:56.10,+51:31:56,8223,22
F05187-1017,05:21:06.50,-10:14:46,8472,20
F05189-2524,05:21:01.47,-25:21:45.4,12759,24
F05223+1908,05:25:16.50,+19:10:45,8865,12
F05365+6921,05:42:04.60,+69:22:42,3933,12
F05368+4940,05:40:43.70,+49:41:41,5741,8
F05414+5840,05:45:47.90,+58:42:03,4455,12
F05442+1732,05:47:11.20,+17:33:46,5582,12
F06052+8027,06:14:29.60,+80:26:59,3918,12
F06076-2139,06:09:45.80,-21:40:23,11224,40
F06107+7822,06:18:37.70,+78:21:25,890,12
F06295-1735,06:31:47.20,-17:37:17,6383,12
F06538+4628,06:57:34.50,+46:24:10,6401,16
